3	0	1	109.631	109.631	90	4	1	
3	2	1	109.856	109.856	95	3	1	
3	1	1	110.145	110.145	93	2	1	
0	0	2	110.553	110.553	0	1	1	
3	0	1	111.24	111.24	94	1	1	
1	0	1	111.828	111.828	85	0	1	
0	0	2	113.251	113.251	0	0	1	
2	1	1	113.898	113.898	97	0	1	
3	1	1	114.456	114.456	99	2	1	
3	0	1	114.764	114.764	97	1	1	
2	0	1	115.209	115.209	85	0	1	
3	1	1	116.01	116.01	100	2	1	
3	0	1	116.38	116.38	85	1	1	
1	1	1	116.967	116.967	98	0	1	
2	0	1	118.391	118.391	98	0	1	
2	0	1	119.038	119.038	101	2	1	
3	1	1	119.371	119.371	102	4	1	
3	2	1	119.596	119.596	103	3	1	
1	0	1	119.885	119.885	96	2	1	
3	1	1	120.293	120.293	101	2	1	
2	1	1	120.596	120.596	104	1	1	
3	1	1	121.031	121.031	104	3	1	
3	1	1	121.298	121.298	105	2	1	
2	0	1	121.661	121.661	96	1	1	
3	1	1	122.232	122.232	96	3	1	
3	0	1	122.544	122.544	98	2	1	
3	0	1	122.997	122.997	106	1	1	
0	0	2	123.826	123.826	0	0	1	
0	0	2	128.666	128.666	0	0	1	
1	1	1	130.866	130.866	108	0	1	
2	0	1	132.289	132.289	108	0	1	
3	0	1	132.936	132.936	108	2	1	
2	0	1	133.27	133.27	109	1	1	
3	0	1	133.77	133.77	110	3	1	
3	0	1	134.059	134.059	109	2	1	
1	0	1	134.466	134.466	107	1	1	
3	0	1	135.154	135.154	111	1	1	
2	0	1	135.589	135.589	107	0	1	
2	0	1	136.36	136.36	112	2	1	
3	2	1	136.723	136.723	112	4	1	
3	0	1	136.961	136.961	107	3	1	
3	0	1	137.273	137.273	113	2	1	
3	0	1	137.726	137.726	114	1	1	
0	0	2	138.555	138.555	0	0	1	
0	0	2	143.395	143.395	0	0	1	
1	0	1	145.595	145.595	115	0	1	
1	0	1	147.018	147.018	116	0	1	
2	2	1	147.665	147.665	116	0	1	
2	0	1	148.084	148.084	115	2	1	
3	0	1	148.344	148.344	116	4	1	
3	0	1	148.533	148.533	119	3	1	
2	0	1	148.766	148.766	117	2	1	
3	1	1	149.069	149.069	120	4	1	
3	1	1	149.279	149.279	117	3	1	
3	0	1	149.546	149.546	115	2	1	
0	0	2	149.909	149.909	0	1	1	
3	0	1	150.48	150.48	121	1	1	
1	0	0	150.98	150.98	122	0	1	
2	0	1	151.98	151.98	118	0	1	
1	1	1	152.781	152.781	123	2	1	
2	1	1	153.151	153.151	125	2	1	
3	3	1	153.433	153.433	126	4	1	
3	0	1	153.633	153.633	118	3	1	
3	1	1	153.883	153.883	125	2	1	
3	0	1	154.217	154.217	124	1	1	
1	0	1	154.717	154.717	122	0	1	
2	2	1	155.717	155.717	127	0	1	
2	0	1	156.259	156.259	123	2	1	
3	3	1	156.563	156.563	129	4	1	
3	2	1	156.773	156.773	123	3	1	
3	0	1	157.04	157.04	127	2	1	
2	0	1	157.403	157.403	122	1	1	
3	1	1	157.974	157.974	122	3	1	
3	1	1	158.286	158.286	130	2	1	
3	0	1	158.739	158.739	128	1	1	
0	0	2	159.568	159.568	0	0	1	
1	0	1	164.408	164.408	131	0	1	
2	1	1	166.608	166.608	132	0	1	
3	1	1	167.378	167.378	133	2	1	
3	0	1	167.742	167.742	132	1	1	
2	0	1	168.312	168.312	131	0	1	
0	0	2	169.642	169.642	0	2	1	
3	1	1	170.095	170.095	134	2	1	
0	0	2	170.503	170.503	0	1	1	
1	0	1	171.19	171.19	135	1	1	
2	0	1	171.777	171.777	135	1	1	
3	2	1	172.17	172.17	138	3	1	
3	1	1	172.42	172.42	135	2	1	
3	0	1	172.754	172.754	131	1	1	
2	0	1	173.254	173.254	137	0	1	
3	1	1	174.254	174.254	139	2	1	
3	0	1	174.661	174.661	137	1	1	
0	0	2	175.349	175.349	0	0	1	
0	0	2	177.549	177.549	0	0	1	
0	0	2	178.972	178.972	0	0	1	
1	3	1	180.024	180.024	142	0	1	
2	1	1	180.859	180.859	143	0	1	
3	0	1	181.349	181.349	143	2	1	
3	0	1	181.635	181.635	144	1	1	
2	0	1	182.035	182.035	142	0	1	
3	1	1	182.704	182.704	145	2	1	
3	0	1	183.043	183.043	142	1	1	
1	0	0	183.556	183.556	136	0	1	
1	1	1	184.608	184.608	140	0	1	
2	0	1	185.442	185.442	140	0	1	
3	1	1	185.932	185.932	148	2	1	
2	0	1	186.218	186.218	147	1	1	
3	2	1	186.619	186.619	149	3	1	
3	1	1	186.872	186.872	147	2	1	
3	0	1	187.211	187.211	140	1	1	
1	0	1	187.724	187.724	136	0	1	
2	1	1	188.776	188.776	150	0	1	
3	1	1	189.333	189.333	151	2	1	
3	0	1	189.641	189.641	150	1	1	
1	1	1	190.086	190.086	146	0	1	
0	0	2	190.887	190.887	0	0	1	
2	1	1	191.366	191.366	146	0	1	
1	1	1	191.793	191.793	153	2	1	
1	0	1	192.057	192.057	141	2	1	
2	4	1	192.273	192.273	141	2	1	
3	0	1	192.455	192.455	146	4	1	
3	2	1	192.599	192.599	157	3	1	
3	1	1	192.768	192.768	141	2	1	
2	3	1	192.97	192.97	155	1	1	
3	2	1	193.225	193.225	158	3	1	
2	2	1	193.41	193.41	153	2	1	
3	1	1	193.638	193.638	155	4	1	
2	0	1	193.809	193.809	136	3	1	
3	4	1	194.016	194.016	160	5	1	
3	0	1	194.175	194.175	154	4	1	
3	1	1	194.363	194.363	159	3	1	
3	0	1	194.596	194.596	153	2	1	
3	0	1	194.899	194.899	136	1	1	
2	0	1	195.335	195.335	152	0	1	
3	0	1	196.105	196.105	152	2	1	
3	0	1	196.469	196.469	161	1	1	
2	0	1	197.039	197.039	156	0	1	
3	0	1	198.369	198.369	156	2	1	
3	0	1	198.822	198.822	162	1	1	
0	0	2	199.651	199.651	0	0	1	
1	0	0	204.491	204.491	163	0	1	
0	0	2	206.691	206.691	0	0	1	
1	2	1	208.114	208.114	165	0	1	
2	1	0	209.167	209.167	166	0	1	
2	0	1	209.724	209.724	165	0	1	
3	1	1	210.152	210.152	168	2	1	
3	0	1	210.415	210.415	165	1	1	
2	0	1	210.773	210.773	166	0	1	
3	1	1	211.331	211.331	169	2	1	
3	0	1	211.639	211.639	166	1	1	
1	0	1	212.084	212.084	163	0	1	
0	0	2	212.885	212.885	0	0	1	
2	1	1	213.363	213.363	163	0	1	
1	0	1	213.791	213.791	164	2	1	
3	0	1	214.055	214.055	163	2	1	
2	1	1	214.27	214.27	170	1	1	
3	0	1	214.545	214.545	172	3	1	
1	0	1	214.742	214.742	171	2	1	
3	1	1	214.986	214.986	174	2	1	
2	4	1	215.189	215.189	175	1	1	
3	2	1	215.443	215.443	176	3	1	
3	1	1	215.629	215.629	175	2	1	
2	2	1	215.856	215.856	173	1	1	
2	0	1	216.152	216.152	167	3	1	
3	4	1	216.358	216.358	178	5	1	
3	0	1	216.517	216.517	170	4	1	
3	1	1	216.706	216.706	177	3	1	
3	1	1	216.938	216.938	167	2	1	
2	0	1	217.242	217.242	164	1	1	
2	0	1	217.677	217.677	171	3	1	
3	1	1	217.943	217.943	164	5	1	
3	1	1	218.135	218.135	179	4	1	
3	1	1	218.373	218.373	171	3	1	
3	1	1	218.685	218.685	180	2	1	
0	0	2	219.138	219.138	0	1	1	
1	0	1	219.967	219.967	181	1	1	
3	0	1	220.654	220.654	173	1	1	
2	1	1	221.09	221.09	182	0	1	
3	0	1	221.86	221.86	182	2	1	
2	0	1	222.224	222.224	181	1	1	
3	2	1	222.794	222.794	184	3	1	
3	1	1	223.106	223.106	181	2	1	
0	0	2	223.56	223.56	0	1	1	
3	0	1	224.388	224.388	183	1	1	
0	0	2	225.076	225.076	0	0	1	
1	0	1	227.276	227.276	185	0	1	
2	0	1	228.699	228.699	185	0	1	
3	1	1	229.346	229.346	188	2	1	
3	0	1	229.68	229.68	185	1	1	
2	0	1	230.18	230.18	187	0	1	
3	1	1	231.18	231.18	189	2	1	
0	0	2	231.587	231.587	0	1	1	
1	0	1	232.275	232.275	186	1	1	
2	0	1	232.862	232.862	186	1	1	
3	0	1	233.255	233.255	187	3	1	
3	1	1	233.505	233.505	192	2	1	
2	0	1	233.838	233.838	191	1	1	
3	1	1	234.338	234.338	191	3	1	
